"","catch_ID","session_ID","month","day","year","island_code","subisland_code","site_code","lat","long","capture_time","capture_hour","capture_min","release_time","species","band_no","recapture","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","sex","measurers","flagged","notes"
"57","20110727_ANI_RR_03","20110727_ANI_RR",7,27,2011,"ANI","WAI","RR","34.013764","-119.442644","7/27/2011 23:37",23,37,"ND","ASSP","4501-41710","N","N","4","33","0","33","12.9","ND","25","142","ND","ND","ALH, DMM, REW, MWP","N","Plummage not as worn as others seen. "
"58","20110727_ANI_RR_04","20110727_ANI_RR",7,27,2011,"ANI","WAI","RR","34.013764","-119.442644","7/27/2011 23:47",23,47,"ND","ASSP","4501-41711","N","N","4","34","0","34","13.3","ND","25.2","137","ND","ND","ALH, DMM, REW, MWP","N","Plummage very worn & brown, primaries and covert. ALH accidently nicked bird with spreaders. Tarsus bleeding. Held bird until wound clotted. "
"59","20110727_ANI_RR_05","20110727_ANI_RR",7,27,2011,"ANI","WAI","RR","34.013764","-119.442644","7/27/2011 22:40",22,40,"ND","ASSP","4501-41719","N","N","ND","32","0","32","13.5","ND","24.5","137","ND","ND","ALH, DMM, REW, MWP","N","Plummage not as worn as last catch. All flight feathers worn."
"60","20110727_ANI_RR_06","20110727_ANI_RR",7,27,2011,"ANI","WAI","RR","34.013764","-119.442644","7/27/2011 22:18",22,18,"ND","ASSP","4501-41787","N","N","ND","30","0","30","ND","ND","ND","ND","ND","ND","ALH, DMM, REW, MWP","N","ASSP got stuck in net & terribly entangled. Vomitted in net. Stuck in net for very long time. A lot of brown plummage, very worn plummage. Brood patch inconclusive. "
"61","20160612_SBI_AP_03","20160612_SBI_AP",6,12,2016,"SBI","SBI","AP","33.487622","-119.028535","6/13/2015 1:11",1,11,"6/13/2015 1:16","ASSP","4501-41795","N","N","0","37","0","37","15.5","37.8","25.8","142","ND","ND","AAY, DMM, GRK","N",NA
"62","20060601_SCI_SR1_01","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:30",21,30,"ND","ASSP","4501-95519","N","N","0","63","26","37","ND","ND","ND","141","ND","N","JA","N",NA
"63","20060601_SCI_SR1_02","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:32",21,32,"ND","ASSP","4501-95520","N","N","1","63","26","37","ND","ND","ND","149","ND","N","JA","N",NA
"64","20060601_SCI_SR1_03","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:38",21,38,"ND","ASSP","4501-95521","N","N","0","61","26","35","ND","ND","ND","145","ND","N","JA","N",NA
"65","20060601_SCI_SR1_04","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:41",21,41,"ND","ASSP","4501-95522","N","Y","0","60","26","34","ND","ND","ND","145","ND","N","JA","N",NA
"66","20060601_SCI_SR1_05","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:41",21,41,"ND","ASSP","4501-95523","N","N","3","65","27","38","ND","ND","ND","144","ND","N","JA","N",NA
"67","20060601_SCI_SR1_06","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:38",21,38,"ND","ASSP","4501-95524","N","N","3","57","25","32","ND","ND","ND","141","ND","N","JA","N",NA
"68","20060601_SCI_SR1_07","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:46",21,46,"ND","ASSP","4501-95525","N","N","1","64","27","37","ND","ND","ND","146","ND","N","JA","N",NA
"69","20060601_SCI_SR1_08","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:46",21,46,"ND","ASSP","4501-95526","N","N","3","63","25","38","ND","ND","ND","141","ND","N","JA","N",NA
