"session_ID","island_code","site_code","lat","long","month","day","start","end","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"20160504_SMI_PI1","SMI","PI1",34.056323,-120.332024,5,4,2016-05-04 20:00:00,2016-05-05 02:00:00,5.4423120210271e-07,3.16904837429721,-0.353421626034903,1.27779620601642,249.111510760138,10.6459427784908,0.664532155010235,0.358729843851843,1012.97293460383,1012.39818454334,13.743738181348,286.697407797101,11.726481920993,0.0363764147788219,-41.0695313778815,0.0363764147788219
"20160507_SBI_ESP","SBI","ESP",33.482528,-119.041599,5,7,2016-05-07 22:01:00,2016-05-08 01:56:00,0,4.48064470873095,-2.00246525474098,1.02220276207233,260.723095895444,8.49250875942324,0.0377275571086323,0.0304335220423298,1014.47688342896,1016.49934542902,16.9160378995304,288.565471765835,12.5320867510307,0.0335374756433037,-27.1081064310622,0.0335374756433037
"20160602_SBI_AP","SBI","AP",33.487622,-119.028535,6,2,2016-06-02 21:00:00,2016-06-03 02:05:00,0,3.5631390021858,0.26777018963659,1.31764089410313,209.462641255996,10.3996082170695,0.00302137854210855,0.00302137854210855,1013.90685026464,1015.9257786317,17.5315739362707,290.046989460527,14.2612826485856,0.0488077936704292,-35.5012548674851,0.0488077936704292
"20160603_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,3,2016-06-03 20:45:00,2016-06-04 02:00:00,3.36142801298712e-07,2.1727566538572,2.11774176132351,0.865862455445711,217.990912186955,9.58055002782732,0.240729316309558,0.0496194937773989,1013.37294352246,1014.35767924039,16.791846454923,289.054667218591,14.6659826388384,0.0112118958784885,-31.4552688422956,0.0112118958784885
"20160705_SMI_PI1","SMI","PI1",34.056323,-120.332024,7,5,2016-07-05 20:45:00,2016-07-06 01:50:00,2.00885340776139e-06,5.48440774738286,-4.73918147092201,1.47467503061845,271.731784127995,8.2780105663787,0.935295412780039,0.935295412780039,1015.09821360994,1014.5254971725,16.6152083384993,288.481426982168,13.3339080365653,0.0397141064140393,-15.4520241333001,0.0397141064140393
"20160712_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,12,2016-07-12 21:02:00,2016-07-13 02:00:00,0,4.44285639393529,-1.45793537929632,1.29409275602407,259.949573239182,7.74596048631889,0.0257071500872334,0.0257071500872334,1012.68907956043,1014.69457418877,20.2280852225095,291.23399319863,14.9301537394445,0.618244802349725,19.9465848259396,0.618244802349725
"20160730_SCI_SR1","SCI","SR1",34.047666,-119.547674,7,30,2016-07-30 21:30:00,2016-07-31 02:02:00,0,1.93871600528562,1.65925229456961,0.741705124811211,239.131537796101,9.2339251674355,0.0404899603471315,0.0404289223967859,1010.7284374421,1011.7189985716,21.112135260992,292.477858339284,16.556594293905,0.0807436478342841,-28.712592136224,0.0807436478342841
"20160804_SBI_AP","SBI","AP",33.487622,-119.028535,8,4,2016-08-04 20:31:00,2016-08-05 00:00:00,0,5.80086303001237,-1.77304950121705,1.45086762506774,255.715115132374,8.17699098153903,0.0455251552652862,0.0455251552652862,1010.90044464621,1012.8958465525,21.6578900521731,292.832343214875,16.6786658309706,0.0592571276203198,-9.75660228283452,0.0592571276203198
"20160806_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,6,2016-08-06 20:25:00,2016-08-07 01:25:00,7.20306002782821e-08,8.13097236942464,-7.87307383995206,1.89344528405966,300.523368937292,6.6412405064548,0.115438023591168,0.115438023591168,1010.0601034457,1009.49077934018,17.1783241482345,288.845433653902,13.9631254145852,0.189824235230296,-7.47626544579438,0.189824235230296
"20170526_SBI_ESP","SBI","ESP",33.482528,-119.041599,5,26,2017-05-26 21:00:00,2017-05-27 02:00:00,2.21872536601119e-06,2.74941923930724,-2.61713033773194,0.973788916444868,245.472516297049,9.03488536534672,0.515503639387789,0.515503639387789,1015.99917394195,1018.02457242757,16.678508738734,288.433138779337,11.6841825741035,0.0323039075605502,-20.6233935740202,0.0323039075605502
"20170620_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,20,2017-06-20 21:15:00,2017-06-21 00:00:00,0,6.49972770746451,0.559952842469432,1.24568355828285,263.030007641563,7.54022462087547,0.0479453099964903,0.0479453099964903,1008.33603458611,1009.3075038864,18.034013647436,290.479969486091,15.4018267782194,0.121773805285126,-40.7149464929618,0.121773805285126
"20170622_SBI_AP","SBI","AP",33.487622,-119.028535,6,22,2017-06-22 20:30:00,2017-06-23 02:00:00,7.37753508402719e-07,0.336111028972091,0.881267297826915,1.3268594522306,228.002116238055,11.0389377686045,0.989004449230595,0.989004449230595,1010.6138088008,1012.62691821841,18.4796349291529,289.91608273758,14.1161544534599,0.011604183020137,-29.777820195657,0.011604183020137
"20180612_SMI_PI1","SMI","PI1",34.056323,-120.332024,6,12,2018-06-12 20:55:00,2018-06-13 02:00:00,0,3.82804871734749,-3.17702241782979,1.7137857960477,270.760492435217,9.71805208446174,0.44997721976496,0.44997721976496,1009.29474027398,1008.73089326043,14.4977381564918,286.981658385975,12.3272747515116,0.00511716884494714,-27.9019057729384,0.00511716884494714
"20180613_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,13,2018-06-13 09:00:00,2018-06-14 02:02:00,7.55753847988454e-08,2.98710607891813,1.56412223068369,1.09110936262134,254.492851993065,9.53414599628037,0.212335769764851,0.212335769764851,1009.61284274566,1010.60350768938,16.8278281955417,288.472710128595,14.0129577536671,0.00145467766802306,19.456138526834,0.00145467766802306
"20180707_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,7,2018-07-07 21:00:00,2018-07-08 02:00:00,0,-0.482777127222801,-0.00443073877102895,1.31938778632722,254.212653851959,8.62706599691039,0.0155494178505486,0.000208546330347559,1009.91028352446,1011.87246756723,20.3140527224039,294.070242137221,19.6253466522681,0.300264117981478,-26.5178951570899,0.300264117981478
"20180808_SCI_SR1","SCI","SR1",34.047666,-119.547674,8,8,2018-08-08 21:02:00,2018-08-09 02:00:00,7.47881412071818e-08,2.90627515419515,1.02880664975797,0.860737337373714,229.372469667885,8.67869719771423,0.068937278419524,0.068937278419524,1011.83689951055,1012.80889600786,21.8627715473502,293.213065345388,19.6015285983064,0.0690857704061027,-30.183718591658,0.0690857704061027
"20180809_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,9,2018-08-09 20:40:00,2018-08-10 02:01:00,0,3.59280056333708,-1.48610730068099,1.2454394870956,209.373849643566,9.6562665501051,0.0365083240504784,0.00293363648848672,1013.82834526832,1013.26378181603,19.1092626460619,289.942800486022,15.2285689174844,0.0202674203814327,-28.0319374343899,0.0202674203814327
"20180813_SBI_AP","SBI","AP",33.487622,-119.028535,8,13,2018-08-13 21:10:00,2018-08-14 02:10:00,0,4.67435855355265,-1.48702110149608,1.10795083138054,228.171202141857,8.3075166316483,0.0893312202576237,0.0672006034037377,1012.71396758531,1014.71264777996,21.986548433852,292.773888090763,16.6055776830071,0.116677343519818,-24.7656141296341,0.116677343519818
