"band_no","recapture","session_year","session_date","island_code","site_code"
"4501-95468","N",2005,2005-05-29,"SMI","PI"
"4501-95514","Y",2005,2005-07-08,"SCI","SR"
"4501-95514","N",2005,2005-05-31,"SCI","SR"
"4501-95565","N",2005,2005-06-01,"SCI","SR"
"4501-95565","Y",2005,2005-08-01,"SBI","AP"
"7901-02692","Y",2004,2004-08-15,"SBI","AP"
"7901-02692","N",2004,2004-07-19,"SBI","ESP"
"7901-02730","N",2004,2004-07-21,"SCI","SR"
"7901-02730","Y",2006,2006-06-02,"SCI","SR"
"7901-02732","Y",2004,2004-08-19,"SCI","SR"
"7901-02732","N",2004,2004-07-21,"SCI","SR"
"7901-02777","N",2004,2004-07-22,"SCI","SR"
"7901-02777","Y",2006,2006-06-02,"SCI","SR"
"7901-02974","N",2004,2004-08-15,"SBI","ESP"
"7901-02974","Y",2004,2004-08-16,"SBI","ESP"
"7901-17012","N",2016,2016-06-03,"SBI","ESP"
"7901-17012","Y",2016,2016-07-12,"SBI","ESP"
"7901-17045","N",2016,2016-07-06,"SBI","AP"
"7901-17045","Y",2017,2017-05-26,"SBI","ESP"
"7901-17067","N",2016,2016-07-06,"SBI","AP"
"7901-17067","Y",2016,2016-07-07,"SBI","ESP"
"7901-17070","N",2016,2016-07-06,"SBI","AP"
"7901-17070","Y",2016,2016-07-12,"SBI","ESP"
"7901-17075","N",2016,2016-07-07,"SBI","ESP"
"7901-17075","Y",2018,2018-07-07,"SBI","ESP"
"7901-17108","Y",2016,2016-07-06,"SCI","SR"
"7901-17108","N",2016,2016-06-02,"SCI","SR"
"7901-17109","N",2016,2016-06-02,"SCI","SR"
"7901-17109","Y",2016,2016-07-06,"SCI","SR"
"7901-17126","N",2016,2016-06-03,"SCI","SR"
"7901-17126","Y",2016,2016-07-30,"SCI","SR"
"7901-17132","N",2016,2016-07-06,"SCI","SR"
"7901-17132","Y",2016,2016-07-30,"SCI","SR"
"7901-17153","N",2016,2016-07-07,"SCI","SR"
"7901-17153","Y",2016,2016-07-30,"SCI","SR"
"7901-17199","N",2016,2016-07-31,"SCI","SR"
"7901-17199","Y",2017,2017-06-19,"SCI","SR"
"7901-17220","N",2016,2016-07-12,"SBI","ESP"
"7901-17220","Y",2018,2018-06-10,"SBI","AP"
"7901-17232","N",2016,2016-08-03,"SBI","AP"
"7901-17232","Y",2016,2016-08-05,"SBI","ESP"
"7901-17240","Y",2016,2016-08-05,"SBI","ESP"
"7901-17240","N",2016,2016-08-04,"SBI","AP"
"7901-17264","Y",2018,2018-06-11,"SCI","SR"
"7901-17264","N",2017,2017-08-20,"SCI","SR"
"MX07837","Y",2018,2018-07-07,"SBI","ESP"
