catch_ID,session_ID,month,day,year,island_code,subisland_code,site_code,lat,long,capture_time,release_time,species,band_no,recapture,band_replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
20110728_SBI_SRO_05,20110728_SBI_SRO,7,28,2011,SBI,SBI,SRO,33.484214,-119.034674,7/29/2011 0:03,7/29/2011 0:11,ASSP,4501-41440,N,N,N,3,31,0,31,13.85,ND,23.05,132,ND,ND,"KWB, AAY, MEJ",N,NA
20140822_SBI_SRO_01,20140822_SBI_SRO,8,22,2014,SBI,SBI,SRO,33.484214,-119.034674,8/22/2014 23:44,8/22/2014 23:55,ASSP,4501-37847,N,N,N,5,30,0,30,13.9,ND,19.8,132,ND,ND,"EWW, CAC, SMC",N,NA
20180711_SCI_SR1_12,20180711_SCI_SR1,7,11,2018,SCI,SR,SR1,34.047666,-119.547674,7/11/2018 23:06,7/11/2018 23:13,ASSP,1401-56346,Y,N,N,0,30,0,30,14.8,38.4,21.8,132,ND,ND,JAH,N,NA
20180711_SCI_SR1_13,20180711_SCI_SR1,7,11,2018,SCI,SR,SR1,34.047666,-119.547674,7/11/2018 23:13,7/11/2018 23:17,ASSP,2461-05660,N,N,N,3,34,0,34,15.2,39,23.8,132,ND,ND,JAH,N,NA
20180711_SCI_SR1_22,20180711_SCI_SR1,7,11,2018,SCI,SR,SR1,34.047666,-119.547674,7/12/2018 1:16,7/12/2018 1:24,ASSP,2461-05669,N,N,N,0,33,0,33,15,38,23.9,132,ND,ND,JAH,N,NA
20180711_SCI_SR1_24,20180711_SCI_SR1,7,11,2018,SCI,SR,SR1,34.047666,-119.547674,7/12/2018 1:43,ND,ASSP,2461-05671,N,N,N,0,34,0,34,14.5,38.3,23.8,132,ND,ND,JAH,N,NA
20150809_SBI_ESP_15,20150809_SBI_ESP,8,9,2015,SBI,SBI,ESP,33.482528,-119.041599,8/10/2015 0:43,8/10/2015 0:51,ASSP,1971-02720,N,N,N,0,31,0,31,14.3,37,24.3,132,ND,ND,"JAH, MGB",N,NA
20150809_SBI_ESP_21,20150809_SBI_ESP,8,9,2015,SBI,SBI,ESP,33.482528,-119.041599,8/10/2015 2:09,8/10/2015 2:14,ASSP,1971-02724,N,N,N,0,30,0,30,14.6,38,23.6,132,ND,ND,"JAH, MGB",N,NA
20170619_SCI_SR1_20,20170619_SCI_SR1,6,19,2017,SCI,SR,SR1,34.047666,-119.547674,6/20/2017 0:10,6/20/2017 0:16,ASSP,1401-56320,N,N,N,0,35,0,35,14.6,37.1,21.9,132,ND,ND,"AJD, CAC, AAY",N,NA
20160803_SBI_AP_09,20160803_SBI_AP,8,3,2016,SBI,SBI,AP,33.487622,-119.028535,8/3/2016 23:40,8/3/2016 23:52,ASSP,7901-17233,N,N,N,0,30,0,30,13.3,36.5,22.3,132,ND,ND,"AAY, PTL",N,NA
20180613_SMI_PI1_05,20180613_SMI_PI1,6,13,2018,SMI,PI,PI1,34.056323,-120.332024,6/13/2018 21:42,ND,ASSP,1971-03019,N,N,N,2,59,22,37,16.3,39.8,24.4,132,ND,ND,"EK, JA",N,NA
20180809_SMI_PI1_19,20180809_SMI_PI1,8,9,2018,SMI,PI,PI1,34.056323,-120.332024,8/9/2018 22:10,8/9/2018 22:18,ASSP,1971-03104,N,N,N,3,34,0,34,14.6,39.2,22.6,132,ND,ND,"AJD, JAH",N,100g pesola tared to bag weight
20180810_SMI_PI1_15,20180810_SMI_PI1,8,10,2018,SMI,PI,PI1,34.056323,-120.332024,8/10/2018 23:41,8/10/2018 23:49,ASSP,1971-03139,N,N,N,2,33,0,33,14.1,38.6,23.6,132,ND,ND,"AJD, JAH",N,NA
20050807_SMI_PI1_02,20050807_SMI_PI1,8,7,2005,SMI,PI,PI1,34.056323,-120.332024,8/7/2005 21:06,ND,ASSP,1971-01833,N,N,N,5,50,19,31,ND,ND,ND,132,ND,ND,JA,N,NA
20180813_SBI_AP_14,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 2:10,8/14/2018 2:28,ASSP,2461-03891,N,N,N,2,32,0,32,14.2,38,12.6,132,ND,ND,"JAH, JOV",N,NA
19940415_ANI_EAI_N_17,19940415_ANI_EAI_N,4,15,1994,ANI,EAI,EAI_N,34.016411,-119.362333,4/16/1994 4:12,ND,ASSP,1401-60713,N,N,N,3,35,0,35,14.35,ND,23.3,133,ND,ND,"DLW, BSK",N,NA
19940417_ANI_EAI_SW_01,19940417_ANI_EAI_SW,4,17,1994,ANI,EAI,EAI_SW,34.013008,-119.374161,4/17/1994 21:06,ND,ASSP,1401-60714,N,N,N,0,36,0,36,14.1,ND,23.7,133,ND,ND,"DLW, BSK",N,NA
19940514_ANI_RR_05,19940514_ANI_RR,5,14,1994,ANI,WAI,RR,34.013764,-119.442644,5/14/1994 23:01,ND,ASSP,1401-60786,N,N,N,4,38,0,38,14.3,ND,23.7,133,ND,ND,"HRC, MOP",N,NA
19940514_ANI_RR_08,19940514_ANI_RR,5,14,1994,ANI,WAI,RR,34.013764,-119.442644,5/14/1994 23:38,ND,ASSP,1401-60789,N,N,N,0,44,0,44,14.2,ND,22.5,133,ND,ND,"HRC, MOP",N,NA
19950425_SBI_WP_01,19950425_SBI_WP,4,25,1995,SBI,SBI,WP,33.481075,-119.046301,4/25/1995 22:12,ND,ASSP,111-112720,N,N,N,0,ND,ND,ND,ND,ND,ND,133,ND,ND,MS,N,NA
19950426_SBI_ESP_08,19950426_SBI_ESP,4,26,1995,SBI,SBI,ESP,33.482528,-119.041599,4/26/1995 22:05,ND,ASSP,111-112730,N,N,N,0,ND,ND,ND,ND,ND,ND,133,ND,ND,MS,N,NA
19950426_SBI_ESP_13,19950426_SBI_ESP,4,26,1995,SBI,SBI,ESP,33.482528,-119.041599,4/26/1995 22:35,ND,ASSP,111-112732,N,N,N,0,ND,ND,ND,ND,ND,ND,133,ND,ND,MS,N,NA
19950603_SBI_ESP_06,19950603_SBI_ESP,6,3,1995,SBI,SBI,ESP,33.482528,-119.041599,6/3/1995 23:55,ND,ASSP,111-112743,N,N,N,0,ND,ND,ND,ND,ND,ND,133,ND,ND,ND,N,NA
19950622_SBI_ESP_07,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/22/1995 23:17,ND,ASSP,111-112756,N,N,N,0,ND,ND,ND,ND,ND,ND,133,ND,ND,ND,N,NA
19950622_SBI_ESP_08,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/22/1995 23:18,ND,ASSP,111-112757,N,N,N,1,ND,ND,ND,ND,ND,ND,133,ND,ND,ND,N,NA
