"catch_ID","session_ID","session_date","session_year","session_month","session_day","island_code","subisland_code","site_code","lat","long","capture_date","capture_year","capture_month","capture_day","capture_hour","capture_min","release_date","species","band_no","recapture","replaced","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","tail_fork","sex","how_sexed","age","how_aged","bander_id","measurers","flagged","notes"
"2004-08-15_SBI_AP_09","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-16 00:21:00,2004,8,16,0,21,NA,"ASSP","1001-21346","N","N","N","1",63,27,36,14.27,38.74,"23.52",143,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_10","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-16 00:53:00,2004,8,16,0,53,NA,"BLSP","1001-21347","N","N","N","1.5",81,26,55,14.71,40.69,"32.95",177,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_11","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-16 01:03:00,2004,8,16,1,3,NA,"ASSP","1001-21348","N","N","N","1.5",64,26,38,13.46,38.36,"24.63",142,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_12","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-16 01:31:00,2004,8,16,1,31,NA,"ASSP","1001-21349","N","N","N",NA,63,26,37,14.62,39.55,"24.76",140,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2009-04-23_SBI_ESP_01","2009-04-23_SBI_ESP",2009-04-23,2009,4,23,"SBI","SBI","ESP",33.482528,-119.041599,2009-04-24 00:20:00,2009,4,24,0,20,NA,"BLSP","1001-21551","N","N","N","1",96,26,70,14.8,NA,"35",175,NA,NA,NA,NA,NA,NA,NA,"ALH, HRC, BC","N",NA
"2009-05-16_SBI_ESP_01","2009-05-16_SBI_ESP",2009-05-16,2009,5,16,"SBI","SBI","ESP",33.482528,-119.041599,2009-05-17 00:29:00,2009,5,17,0,29,NA,"BLSP","1001-21552","N","N","N","2",87,27,60,17.8,NA,"32.5",178,NA,NA,NA,NA,NA,NA,NA,"CEH, HRC","N",NA
"2009-07-26_SBI_SP_01","2009-07-26_SBI_SP",2009-07-26,2009,7,26,"SBI","SBI","SP",33.471906,-119.041719,2009-07-26 23:20:00,2009,7,26,23,20,NA,"BLSP","1001-21554","N","N","N","4",84,27,57,17,NA,"34.4",171,NA,NA,NA,NA,NA,NA,NA,"ALH, CEH, SAA, NAG, EM","N",NA
"2009-07-26_SBI_SP_02","2009-07-26_SBI_SP",2009-07-26,2009,7,26,"SBI","SBI","SP",33.471906,-119.041719,2009-07-27 00:49:00,2009,7,27,0,49,NA,"BLSP","1001-21555","N","N","N","3",84,27,57,15.8,NA,"32.9",171,NA,NA,NA,NA,NA,NA,NA,"ALH, CEH, SAA, NAG, EM","N",NA
"2011-07-02_SBI_SRO_01","2011-07-02_SBI_SRO",2011-07-02,2011,7,2,"SBI","SBI","SRO",33.484214,-119.034674,2011-07-03 01:37:00,2011,7,3,1,37,2011-07-03 01:50:00,"BLSP","1001-21558","N","N","N","3",64,0,64,16.92,NA,"32.7",179,NA,NA,NA,NA,NA,NA,NA,"SAA, KWB","N",NA
"2011-07-03_SBI_NCliffs_01","2011-07-03_SBI_NCliffs",2011-07-03,2011,7,3,"SBI","SBI","NCliffs",33.488461,-119.030192,2011-07-03 22:29:00,2011,7,3,22,29,2011-07-03 22:52:00,"BLSP","1001-21561","N","N","N","2",NA,NA,NA,NA,NA,"33.4",NA,NA,NA,NA,NA,NA,NA,NA,"SAA, KWB","N","Had some fishing line around rt leg-took off. Bounced off net--we picked up from ground."
"2011-07-03_SBI_NCliffs_02","2011-07-03_SBI_NCliffs",2011-07-03,2011,7,3,"SBI","SBI","NCliffs",33.488461,-119.030192,2011-07-04 01:05:00,2011,7,4,1,5,2011-07-04 01:21:00,"BLSP","1001-21562","N","N","N","0",57,0,57,16.21,NA,"33.81",177,NA,NA,NA,NA,NA,NA,NA,"SAA, KWB","N",NA
"2011-07-04_SBI_SP_01","2011-07-04_SBI_SP",2011-07-04,2011,7,4,"SBI","SBI","SP",33.471906,-119.041719,2011-07-04 23:49:00,2011,7,4,23,49,2011-07-05 00:03:00,"BLSP","1001-21563","N","N","N","3",50,0,50,16.45,NA,"33",174,NA,NA,NA,NA,NA,NA,NA,"SAA, KWB","N",NA
"2014-07-02_SBI_ESP_01","2014-07-02_SBI_ESP",2014-07-02,2014,7,2,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-02 22:40:00,2014,7,2,22,40,2014-07-02 22:52:00,"BLSP","1001-21565","N","N","N","3",60,0,60,16.1,NA,"33.9",185,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
"2014-07-02_SBI_ESP_02","2014-07-02_SBI_ESP",2014-07-02,2014,7,2,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-02 23:20:00,2014,7,2,23,20,2014-07-02 23:34:00,"BLSP","1001-21566","N","N","N","3",66,0,66,14.6,NA,"35.6",184,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
"2014-07-02_SBI_ESP_03","2014-07-02_SBI_ESP",2014-07-02,2014,7,2,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-02 22:10:00,2014,7,2,22,10,2014-07-02 22:34:00,"BLSP","1001-21567","N","N","N","3",53,0,53,15.2,NA,"31.9",172,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
"2014-07-02_SBI_ESP_04","2014-07-02_SBI_ESP",2014-07-02,2014,7,2,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-03 00:00:00,2014,7,3,0,0,2014-07-03 00:11:00,"BLSP","1001-21568","N","N","N","5",55,0,55,15.6,NA,"35.1",175,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
