catch_ID,session_ID,session_date,session_year,session_month,session_day,island_code,subisland_code,site_code,lat,long,capture_date,capture_year,capture_month,capture_day,capture_hour,capture_min,release_date,species,ind_code,band_no,recapture,replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
2018-06-11_SBI_ESP_30,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:55,2018,6,11,22,55,6/11/2018 23:08,ASSP,2461-05789,2461-05789,N,N,N,0,34,0,34,13.9,36.3,24.5,147,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_31,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:00,2018,6,11,23,0,6/11/2018 23:10,ASSP,2461-05790,2461-05790,N,N,N,0,36,0,36,14.3,37.2,23.7,140,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_32,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:09,2018,6,11,23,9,6/11/2018 23:14,ASSP,2461-05791,2461-05791,N,N,N,3,33,0,33,14.9,39.8,23.4,147,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_33,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:19,2018,6,11,23,19,6/11/2018 23:24,ASSP,2461-05792,2461-05792,N,N,N,0,34,0,34,13.7,38.2,23.4,142,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_34,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:29,2018,6,11,23,29,6/11/2018 23:32,ASSP,2461-05793,2461-05793,N,N,N,3,32,0,32,14.5,37.9,23.5,141,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_35,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:34,2018,6,11,23,34,6/11/2018 23:40,ASSP,2461-05794,2461-05794,N,N,N,0,33,0,33,14.1,36.8,23.7,143,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_36,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:38,2018,6,11,23,38,6/11/2018 23:43,ASSP,2461-05795,2461-05795,N,N,N,0,34,0,34,14.1,38.3,23.9,140,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_37,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:43,2018,6,11,23,43,6/11/2018 23:49,ASSP,2461-05796,2461-05796,N,N,N,0,31,0,31,14.5,37,23.4,141,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_38,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 23:47,2018,6,11,23,47,6/11/2018 23:52,ASSP,2461-05797,2461-05797,N,N,N,0,38,0,38,15.1,38,22.9,141,ND,ND,"JAH, CMB",N,NA
2018-07-07_SBI_ESP_33,2018-07-07_SBI_ESP,7/7/2018,2018,7,7,SBI,SBI,ESP,33.482528,-119.041599,7/7/2018 21:23,2018,7,7,21,23,7/7/2018 21:26,ASSP,2461-05797,2461-05797,Y,N,N,ND,33,0,33,ND,ND,ND,ND,ND,ND,"JAH, JOV",N,NA
